sample_id,treatment,gpp_sum,npp_sum,lai_mean,reco_sum,rauto_sum,rhetero_sum,npp_leaf_sum,npp_wood_sum,npp_root_sum,npp_repro_sum,litterfall_c_sum,leaf_c_end,wood_c_end,root_c_end,plant_c_end,soil_c_end,nsc_end,p_demand_sum,p_uptake_sum,p_retrans_sum,leaf_p_end,root_p_end,plant_p_end,leaf_cp_end,root_cp_end,p_net_sum,fptase_sum,p_loss_sum,labile_p_end,sorbed_p_end,strongly_sorbed_p_end,occluded_p_end,microbial_p_end,organic_p_end,total_inorganic_p_end
t008_s028,P100,5022.400879,2701.075439,4.243391514,3058.261475,1096.903809,1961.355103,665.6350098,488.1828003,1178.830322,368.4287109,1642.896484,250.7463989,463.1523438,99.81633759,1104.755249,22175.13477,70.89190674,166.1431885,1.805992246,0.8878661394,0.3122619987,0.084446989,0.8935619593,803.000061,1182.0,3.622129679,0.00718057435,0.0009654847672,17.96230507,16.29406548,18.1885643,131.9398651,1.688443899,113.1706619,184.3847961
t008_s029,P0,5092.28125,2676.640869,4.107831955,3041.723633,1105.395264,1936.317993,660.4204102,483.4296265,1165.618774,367.1708374,1617.38501,252.0553284,459.7859802,102.5580292,1105.838501,22174.75391,71.80709076,173.6027679,1.796499848,0.8749160767,0.3138920665,0.08676651865,0.8973922729,803.0,1182.0,3.625076056,0.007180411369,0.0001903038064,2.315154076,2.462769747,18.07071495,131.9396057,1.678201914,113.1562653,154.7882385
t008_s029,P25,5199.12793,2789.990479,4.355382919,3096.820312,1122.67981,1974.138428,687.6293335,505.6049194,1214.071533,382.6826782,1691.442871,259.611084,480.2131958,102.6940918,1145.13208,22211.05859,73.39550781,168.8923492,1.867143035,0.913674891,0.3233014941,0.08688163757,0.926522553,802.999939,1182.0,3.606468678,0.007180545013,0.0003781815176,5.998586655,6.13181448,18.09555244,131.9398193,1.710243106,113.2080841,162.1657715
t008_s029,P50,5234.198242,2824.701172,4.436975956,3116.082275,1129.675537,1986.409058,695.7209473,512.1547852,1229.209229,387.6157227,1714.949951,261.6925964,486.3391418,102.6671829,1156.337891,22222.31641,74.02340698,166.5520477,1.888381124,0.9259961843,0.3258936405,0.08685886115,0.9345189929,803.0,1182.000122,3.599724531,0.007180596236,0.0005714910803,9.835314751,9.660701752,18.12837982,131.9398956,1.720729828,113.225296,169.5643005
t008_s029,P100,5261.592773,2849.336426,4.494423866,3130.319336,1135.336914,1994.981323,701.5999756,516.8670044,1239.924438,390.9440308,1731.670044,263.0823364,490.7314148,102.6382904,1164.248657,22230.44531,74.52848053,164.0569611,1.903788805,0.9347993731,0.3276243508,0.08683442324,0.9401003122,802.999939,1182.0,3.594812632,0.007180644199,0.0009702917305,17.8900795,16.23958588,18.18897629,131.9399719,1.728274822,113.2377472,184.258606
t008_s030,P0,5316.208496,2900.636475,4.590996265,3160.904297,1146.710938,2014.197388,714.2105103,526.4634399,1260.67749,399.2851257,1766.830688,265.0776062,499.6663818,102.6313705,1180.417603,22246.4707,75.09383392,124.3223495,1.934821129,0.9532673955,0.3301090896,0.08682855964,0.9516518116,803.0,1182.000122,3.585189581,0.007180748507,0.0001876324968,2.226909161,2.371207476,18.06881714,131.9398956,1.743628025,113.2640686,154.6068268
t008_s030,P25,5322.035645,2908.181152,4.596316814,3164.585205,1147.664917,2016.925537,716.1118774,527.6820679,1263.427246,400.9580688,1772.123779,265.0944519,500.746521,102.6416321,1182.667358,22249.01953,75.10770416,123.5817642,1.940214038,0.9559705853,0.3301300704,0.08683725446,0.953484416,803.0,1182.0,3.583032608,0.007180780638,0.0003773004282,5.948278427,6.0836339,18.09516907,131.9399261,1.746271253,113.2690735,162.0670013
t008_s030,P50,5322.054199,2908.208008,4.59637785,3164.591797,1147.674072,2016.92688,716.1268921,527.6845703,1263.434937,400.9599304,1772.138306,265.1011963,500.7500305,102.6440735,1182.682251,22249.03125,75.10971069,123.241333,1.940336466,0.9559798241,0.3301384747,0.08683931828,0.9534986019,803.0,1182.0,3.583028793,0.007180780638,0.0005711828708,9.7977705,9.62750721,18.12822723,131.9399414,1.746274471,113.2690887,169.4934387
t008_s030,P100,5322.053711,2908.195557,4.596357346,3164.589355,1147.670898,2016.927124,716.1220703,527.6833496,1263.432007,400.9589844,1772.131958,265.0980835,500.7481995,102.642868,1182.675415,22249.02734,75.10897827,122.9086304,1.940411925,0.9559757113,0.3301346004,0.08683829755,0.9534922838,803.0,1182.0,3.583031178,0.007180780638,0.0009706001729,17.861166,16.21775627,18.18904686,131.9400177,1.746273041,113.2690811,184.2079773
t009_s000,P0,2064.178955,3.853263378,0.9758335352,414.4985046,307.2583618,107.2377853,1.358702183,0.5024001598,1.979466915,0.01269379351,31.65086555,24.30106926,1.313393116,0.8405566812,26.82264137,23165.17578,14.34338665,1820.307495,0.0001352101244,0.01245994493,0.03026285209,0.0007111308514,0.03174724802,802.999939,1182.0,-0.364090085,0.03386126831,5.564720951e-08,0.0001782550098,5.369686187e-05,18.02054787,131.9369202,6.453056812,119.1277771,149.9577026
t009_s000,P25,2754.521729,835.2901001,1.621293068,2785.836914,701.2765503,2084.541016,122.6955414,179.680191,498.5877075,34.32632446,275.94104,101.1314011,168.5424194,315.8536377,613.9689941,21432.24609,78.5982132,656.7258911,0.6664019823,0.08331558108,0.125941962,0.2672196627,0.4663722515,803.000061,1182.0,0.6260492206,0.03275188804,0.0001121370515,6.052393913,1.7598387,18.02047539,131.937149,11.85326767,118.2747803,157.7698517
